Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAPHITE,EQ,19-Sep-19,338.4,337,349.5,330,332.6,334.75,339.25,4639010,1573785626,71349,364892,7.87
GRAPHITE,EQ,20-Sep-19,334.75,336.1,349.4,331,343.5,343.3,341.13,3365218,1147977379,57157,821298,24.41
GRAPHITE,EQ,23-Sep-19,343.3,348.9,352,331,332,333.3,338.78,1635907,554220081.9,47218,589169,36.01
GRAPHITE,EQ,24-Sep-19,333.3,332.35,364.8,332.35,348.6,348.1,352.77,5399421,1904755244,91354,823134,15.24
GRAPHITE,EQ,25-Sep-19,348.1,348.6,354.85,336.05,343.3,342.8,345.15,1621140,559536252.5,32071,404227,24.93
GRAPHITE,EQ,26-Sep-19,342.8,345.5,348.8,336.4,339.8,339.65,341.76,1233404,421530290,25432,245346,19.89
GRAPHITE,EQ,27-Sep-19,339.65,340.7,342.95,314.45,315.7,316.35,323.06,2542911,821520182.9,71399,774674,30.46
GRAPHITE,EQ,30-Sep-19,316.35,315.2,316.75,285.1,291.6,290.95,296.51,1992180,590698117.2,47427,634522,31.85
GRAPHITE,EQ,1-Oct-19,290.95,286.6,299.7,277.05,283.55,283.7,290.06,1497278,434304774.3,31433,298830,19.96
GRAPHITE,EQ,3-Oct-19,283.7,280,291.3,276.7,282,282.45,284.24,1029937,292745625.6,22077,209894,20.38
GRAPHITE,EQ,4-Oct-19,282.45,284.9,288.75,278.1,281.55,281.45,283.39,944764,267735257,17839,213292,22.58
GRAPHITE,EQ,7-Oct-19,281.45,283.15,283.75,271.25,273,273.7,275.01,715034,196641183,15645,200691,28.07
GRAPHITE,EQ,9-Oct-19,273.7,274,279.8,255.1,271.35,271.9,268.29,2165493,580983587.9,39819,442801,20.45
GRAPHITE,EQ,10-Oct-19,271.9,268.65,283.8,268,271,271.3,277.14,1553005,430398005.7,27020,267808,17.24
GRAPHITE,EQ,11-Oct-19,271.3,275.45,276.4,263.45,265.2,265.25,267.8,1074394,287718050.2,23542,265003,24.67
GRAPHITE,EQ,14-Oct-19,265.25,266.2,273,263.05,270,269.45,268.97,1058843,284797499.4,18150,246775,23.31
GRAPHITE,EQ,15-Oct-19,269.45,270,273.8,265,270.9,269.35,269.94,815435,220117467.7,13156,184765,22.66
GRAPHITE,EQ,16-Oct-19,269.35,272.05,279.8,269,272.4,272.6,273.8,766515,209875513.8,15695,167003,21.79
GRAPHITE,EQ,17-Oct-19,272.6,273.95,292,268.1,283,282.95,279.98,2027108,567556885.7,32382,340948,16.82
GRAPHITE,EQ,18-Oct-19,282.95,282.5,297.5,280.2,295,291.95,288.55,2624986,757427565,35632,928613,35.38
GRAPHITE,EQ,22-Oct-19,291.95,295.9,327.4,295,310.8,311.35,315.03,4617790,1454743048,70784,745028,16.13
GRAPHITE,EQ,23-Oct-19,311.35,313.4,316.15,291.1,293.8,294.65,302.61,1452916,439664277.3,25058,481923,33.17
GRAPHITE,EQ,24-Oct-19,294.65,295.95,302.6,285.05,285.85,286.75,292.06,1313436,383598568.5,22841,357853,27.25
GRAPHITE,EQ,25-Oct-19,286.75,287.1,289.3,276.15,277.95,278.95,282.07,1093455,308434688.1,20401,362027,33.11
GRAPHITE,EQ,27-Oct-19,278.95,280.6,283,279,282.5,282,281.49,203497,57283287.1,4154,81721,40.16
GRAPHITE,EQ,29-Oct-19,282,283.75,302,281,292.6,292.75,292.25,2165112,632756485.7,34551,455095,21.02
GRAPHITE,EQ,30-Oct-19,292.75,294.5,299.3,278.5,281.6,282.7,286.9,3352904,961952967.7,67427,839717,25.04
GRAPHITE,EQ,31-Oct-19,282.7,283,289.9,281.65,285.75,284.9,285.68,1276788,364756154.8,18790,401755,31.47
GRAPHITE,EQ,1-Nov-19,284.9,284.9,293.8,283.8,287.6,288.55,289.17,1462808,422998649.7,22407,291412,19.92
GRAPHITE,EQ,4-Nov-19,288.55,290.75,310.9,288.05,300.2,299.3,302,3854173,1163944083,56562,721123,18.71
GRAPHITE,EQ,5-Nov-19,299.3,301.8,305.9,293.65,296,295.75,299.19,1657068,495773597.6,26959,315638,19.05
GRAPHITE,EQ,6-Nov-19,295.75,295.7,305.6,295.5,298.85,297.9,300.5,1809069,543626356.9,25602,312853,17.29
GRAPHITE,EQ,7-Nov-19,297.9,299,310,296.1,309.9,307,303.77,1989859,604468550,35916,556924,27.99
GRAPHITE,EQ,8-Nov-19,307,308,314.45,300.25,302.75,302.45,308.01,2336788,719749126.4,36413,545948,23.36
GRAPHITE,EQ,11-Nov-19,302.45,301.7,305.5,298,301.5,301.25,301.53,882491,266096874.8,15592,206544,23.4
GRAPHITE,EQ,13-Nov-19,301.25,301.25,313.9,298.2,306.9,308.55,307.68,2670091,821527425.9,39363,449773,16.84
GRAPHITE,EQ,14-Nov-19,308.55,307,310.4,298.35,305.6,304.7,305.81,2013468,615730253.6,28676,296542,14.73
GRAPHITE,EQ,15-Nov-19,304.7,304,307.6,296.7,297.2,298.15,301,1191039,358504389.4,19143,326134,27.38
GRAPHITE,EQ,18-Nov-19,298.15,298.2,304,293.3,294.6,295.2,298.31,1092814,325994745.3,23181,352882,32.29
GRAPHITE,EQ,19-Nov-19,295.2,297.1,304,297.1,302.4,301.95,300.75,1015459,305395958.9,23430,382742,37.69
GRAPHITE,EQ,20-Nov-19,301.95,303,308.95,299.15,303.5,303.65,304.44,1001838,305000240.2,27099,285103,28.46
GRAPHITE,EQ,21-Nov-19,303.65,304.75,306.4,298.3,302.05,302.3,302.56,673603,203802508.1,14704,180396,26.78
GRAPHITE,EQ,22-Nov-19,302.3,303,324,303,314.55,315.85,317.7,4024497,1278576750,63721,716670,17.81
GRAPHITE,EQ,25-Nov-19,315.85,316.8,320.45,311.1,316.25,316.2,316.62,1642693,520116238.2,23450,265710,16.18
GRAPHITE,EQ,26-Nov-19,316.2,318,324.4,308.7,318.5,315.9,318.39,1848816,588653555.7,30064,451502,24.42
GRAPHITE,EQ,27-Nov-19,315.9,318.75,335.4,311.6,333,331.65,327.9,4360553,1429830398,57460,849393,19.48
GRAPHITE,EQ,28-Nov-19,331.65,334.5,337.4,324.1,325.6,327.25,330.25,2493585,823502752.4,34615,487564,19.55
GRAPHITE,EQ,29-Nov-19,327.25,326,335.4,321.25,323.85,326.1,328.72,1978835,650480928.2,29649,335243,16.94
GRAPHITE,EQ,2-Dec-19,326.1,323,324.85,298,298.3,299.75,307.05,2406499,738905475.5,40771,1108110,46.05
GRAPHITE,EQ,3-Dec-19,299.75,299,303.2,294.25,297,296.6,298.02,1513870,451162509.5,28443,475417,31.4
